label_name,id,label
neutral,0,1
neutral,1,1
neutral,2,1
neutral,3,1
neutral,4,1
positive,5,2
positive,6,2
negative,7,0
neutral,8,1
negative,9,0
neutral,10,1
negative,11,0
negative,12,0
positive,13,2
neutral,14,1
positive,15,2
negative,16,0
positive,17,2
positive,18,2
positive,19,2
negative,20,0
neutral,21,1
positive,22,2
positive,23,2
neutral,24,1
positive,25,2
neutral,26,1
neutral,27,1
neutral,28,1
neutral,29,1
negative,30,0
negative,31,0
negative,32,0
neutral,33,1
neutral,34,1
neutral,35,1
negative,36,0
positive,37,2
neutral,38,1
neutral,39,1
neutral,40,1
positive,41,2
negative,42,0
neutral,43,1
negative,44,0
negative,45,0
neutral,46,1
neutral,47,1
neutral,48,1
positive,49,2
negative,50,0
positive,51,2
negative,52,0
positive,53,2
neutral,54,1
neutral,55,1
neutral,56,1
neutral,57,1
negative,58,0
positive,59,2
negative,60,0
neutral,61,1
neutral,62,1
neutral,63,1
negative,64,0
negative,65,0
neutral,66,1
negative,67,0
positive,68,2
neutral,69,1
neutral,70,1
neutral,71,1
negative,72,0
positive,73,2
negative,74,0
negative,75,0
positive,76,2
negative,77,0
positive,78,2
neutral,79,1
neutral,80,1
negative,81,0
neutral,82,1
positive,83,2
negative,84,0
negative,85,0
negative,86,0
negative,87,0
negative,88,0
positive,89,2
neutral,90,1
neutral,91,1
negative,92,0
neutral,93,1
neutral,94,1
positive,95,2
negative,96,0
positive,97,2
positive,98,2
positive,99,2
positive,100,2
negative,101,0
negative,102,0
positive,103,2
negative,104,0
positive,105,2
negative,106,0
negative,107,0
neutral,108,1
negative,109,0
positive,110,2
neutral,111,1
neutral,112,1
neutral,113,1
neutral,114,1
negative,115,0
negative,116,0
positive,117,2
positive,118,2
neutral,119,1
positive,120,2
positive,121,2
positive,122,2
negative,123,0
negative,124,0
negative,125,0
negative,126,0
neutral,127,1
neutral,128,1
neutral,129,1
negative,130,0
positive,131,2
neutral,132,1
neutral,133,1
positive,134,2
positive,135,2
neutral,136,1
positive,137,2
neutral,138,1
negative,139,0
negative,140,0
negative,141,0
negative,142,0
positive,143,2
negative,144,0
negative,145,0
neutral,146,1
negative,147,0
positive,148,2
neutral,149,1
neutral,150,1
negative,151,0
negative,152,0
negative,153,0
neutral,154,1
neutral,155,1
neutral,156,1
positive,157,2
negative,158,0
negative,159,0
neutral,160,1
neutral,161,1
negative,162,0
neutral,163,1
